"parameter","time","value","statistic","method"
"R",45,551814.7925,"MSE","LW99"
"p: S->I",45,4.42926784825471e-05,"MSE","LW99"
"p: I->R",45,1.95885450421413e-05,"MSE","LW99"
"r: S->I",45,0.00180104360634018,"MSE","LW99"
"r: I->R",45,0.00174272187043778,"MSE","LW99"
"S",46,724603.9125,"MSE","LW99"
"I",46,33146.16,"MSE","LW99"
"R",46,567629.430625,"MSE","LW99"
"p: S->I",46,4.46354654229516e-05,"MSE","LW99"
"p: I->R",46,1.91777590295084e-05,"MSE","LW99"
"r: S->I",46,0.00178772377241009,"MSE","LW99"
"r: I->R",46,0.00173517865650441,"MSE","LW99"
"S",47,727464.0275,"MSE","LW99"
"I",47,26497.685,"MSE","LW99"
"R",47,588808.1975,"MSE","LW99"
"p: S->I",47,4.50637243056637e-05,"MSE","LW99"
"p: I->R",47,1.89379964116759e-05,"MSE","LW99"
"r: S->I",47,0.00175059298103765,"MSE","LW99"
"r: I->R",47,0.00169276013017541,"MSE","LW99"
"S",48,726795.2875,"MSE","LW99"
"I",48,22450.295,"MSE","LW99"
"R",48,590456.2375,"MSE","LW99"
"p: S->I",48,4.48877484770115e-05,"MSE","LW99"
"p: I->R",48,1.86446660655694e-05,"MSE","LW99"
"r: S->I",48,0.00178774707956608,"MSE","LW99"
"r: I->R",48,0.00172442421477784,"MSE","LW99"
"S",49,737508.5175,"MSE","LW99"
"I",49,19267.0975,"MSE","LW99"
"R",49,613796.8075,"MSE","LW99"
"p: S->I",49,4.53440420600933e-05,"MSE","LW99"
"p: I->R",49,1.90501108299061e-05,"MSE","LW99"
"r: S->I",49,0.00176462087257123,"MSE","LW99"
"r: I->R",49,0.00170289545453966,"MSE","LW99"
"S",50,739209.915,"MSE","LW99"
"I",50,16347.775,"MSE","LW99"
"R",50,621891.880625,"MSE","LW99"
"p: S->I",50,4.556557243757e-05,"MSE","LW99"
"p: I->R",50,1.93430289743979e-05,"MSE","LW99"
"r: S->I",50,0.00172679022304171,"MSE","LW99"
"r: I->R",50,0.00167211431426817,"MSE","LW99"
"S",51,744190.7775,"MSE","LW99"
"I",51,13639.6125,"MSE","LW99"
"R",51,637166.62,"MSE","LW99"
"p: S->I",51,4.56478422438216e-05,"MSE","LW99"
"p: I->R",51,1.9518852502521e-05,"MSE","LW99"
"r: S->I",51,0.0017007685515744,"MSE","LW99"
"r: I->R",51,0.00166519728134516,"MSE","LW99"
"S",52,749482.225,"MSE","LW99"
"I",52,11123.8425,"MSE","LW99"
"R",52,646574.2375,"MSE","LW99"
"p: S->I",52,4.50480093426984e-05,"MSE","LW99"
"p: I->R",52,1.91985139913387e-05,"MSE","LW99"
"r: S->I",52,0.0016738841689882,"MSE","LW99"
"r: I->R",52,0.00162784810922258,"MSE","LW99"
"S",53,755022.3975,"MSE","LW99"
"I",53,9560.05,"MSE","LW99"
"R",53,664967.655625,"MSE","LW99"
"p: S->I",53,4.5703704896316e-05,"MSE","LW99"
"p: I->R",53,1.94468143977363e-05,"MSE","LW99"
"r: S->I",53,0.00164746179901285,"MSE","LW99"
"r: I->R",53,0.00159937659163593,"MSE","LW99"
"S",54,765576.3175,"MSE","LW99"
"I",54,7940.6575,"MSE","LW99"
"R",54,682433.6575,"MSE","LW99"
"p: S->I",54,4.59061221708187e-05,"MSE","LW99"
"p: I->R",54,1.95613413936153e-05,"MSE","LW99"
"r: S->I",54,0.00162489221885545,"MSE","LW99"
"r: I->R",54,0.00159130137010187,"MSE","LW99"
"S",55,770960.865,"MSE","LW99"
"I",55,6901.1375,"MSE","LW99"
"R",55,693507.3825,"MSE","LW99"
"p: S->I",55,4.64651463050488e-05,"MSE","LW99"
"p: I->R",55,1.95980639123927e-05,"MSE","LW99"
"r: S->I",55,0.00159768738315883,"MSE","LW99"
"r: I->R",55,0.00157205034933622,"MSE","LW99"
"S",56,782916.4825,"MSE","LW99"
"I",56,5638.515,"MSE","LW99"
"R",56,712745.5775,"MSE","LW99"
"p: S->I",56,4.63750887828172e-05,"MSE","LW99"
"p: I->R",56,1.94389205970597e-05,"MSE","LW99"
"r: S->I",56,0.00159350301894751,"MSE","LW99"
"r: I->R",56,0.00157268322316573,"MSE","LW99"
"S",57,788714.4875,"MSE","LW99"
"I",57,5457.6775,"MSE","LW99"
"R",57,720862.32,"MSE","LW99"
"p: S->I",57,4.69416470355973e-05,"MSE","LW99"
"p: I->R",57,1.93977641569819e-05,"MSE","LW99"
"r: S->I",57,0.00161382975064729,"MSE","LW99"
"r: I->R",57,0.00159012403820896,"MSE","LW99"
"S",58,787903.095625,"MSE","LW99"
"I",58,4229.175,"MSE","LW99"
"R",58,727615.578125,"MSE","LW99"
"p: S->I",58,4.69190885649461e-05,"MSE","LW99"
"p: I->R",58,1.95103613112042e-05,"MSE","LW99"
"r: S->I",58,0.00161460552770746,"MSE","LW99"
"r: I->R",58,0.001562459365892,"MSE","LW99"
"S",59,790586.0575,"MSE","LW99"
"I",59,3259.5675,"MSE","LW99"
"R",59,733328.815,"MSE","LW99"
"p: S->I",59,4.6335301031686e-05,"MSE","LW99"
"p: I->R",59,1.92924973329861e-05,"MSE","LW99"
"r: S->I",59,0.00160467581858878,"MSE","LW99"
"r: I->R",59,0.00154950857104864,"MSE","LW99"
"S",60,787986.223125,"MSE","LW99"
"I",60,2702.765,"MSE","LW99"
"R",60,735741.345,"MSE","LW99"
"p: S->I",60,4.63804835949375e-05,"MSE","LW99"
"p: I->R",60,1.91544465215936e-05,"MSE","LW99"
"r: S->I",60,0.00160575030692936,"MSE","LW99"
"r: I->R",60,0.00154229052062085,"MSE","LW99"
"S",0,1.17861599451282,"seMSE","LW99"
"I",0,1.17861599451282,"seMSE","LW99"
"R",0,0,"seMSE","LW99"
"p: S->I",0,0.000911391236711301,"seMSE","LW99"
"p: I->R",0,0.000933186515483888,"seMSE","LW99"
"r: S->I",0,0.0109125573679354,"seMSE","LW99"
"r: I->R",0,0.00751553904564475,"seMSE","LW99"
"S",1,2.63578564120293,"seMSE","LW99"
"I",1,2.7282489042871,"seMSE","LW99"
"R",1,1.07300305766256,"seMSE","LW99"
"p: S->I",1,0.00108535031581679,"seMSE","LW99"
"p: I->R",1,0.00102572381830651,"seMSE","LW99"
"r: S->I",1,0.0102363638413697,"seMSE","LW99"
"r: I->R",1,0.00869988688560352,"seMSE","LW99"
"S",2,4.77505665880995,"seMSE","LW99"
"I",2,4.80960285683159,"seMSE","LW99"
"R",2,1.83143914987168,"seMSE","LW99"
"p: S->I",2,0.00116218188186461,"seMSE","LW99"
"p: I->R",2,0.00109188154420583,"seMSE","LW99"
"r: S->I",2,0.0108363291027136,"seMSE","LW99"
"r: I->R",2,0.00765276535400891,"seMSE","LW99"
"S",3,6.35823587450819,"seMSE","LW99"
"I",3,6.16863363318396,"seMSE","LW99"
"R",3,2.77416160538021,"seMSE","LW99"
"p: S->I",3,0.00113160004284371,"seMSE","LW99"
"p: I->R",3,0.000973743762621577,"seMSE","LW99"
"r: S->I",3,0.0103015011820385,"seMSE","LW99"
"r: I->R",3,0.00768416273298504,"seMSE","LW99"
"S",4,9.49774213917514,"seMSE","LW99"
"I",4,9.40404716772967,"seMSE","LW99"
"R",4,3.45322045986017,"seMSE","LW99"
"p: S->I",4,0.00115111188967008,"seMSE","LW99"
"p: I->R",4,0.000982665006917728,"seMSE","LW99"
"r: S->I",4,0.00965579534970744,"seMSE","LW99"
"r: I->R",4,0.00812447810915781,"seMSE","LW99"
"S",5,14.7540703953714,"seMSE","LW99"
"I",5,13.0097001739897,"seMSE","LW99"
